year,team,avg_elo,max_elo,min_elo
2023,Baltimore Ravens,1647.6907768082112,1796.7049636101794,1512.7947826065083
2023,Buffalo Bills,1660.6447749063227,1748.314961789088,1570.9958960130136
2023,Carolina Panthers,1296.4848746701991,1429.8739595229383,1207.0606783811982
2023,Chicago Bears,1323.5404897905387,1447.0178860095791,1230.8964021494926
2023,Cincinnati Bengals,1615.0789918936773,1686.7697809170186,1563.1881210079534
2023,Cleveland Browns,1552.3936952599238,1615.447553895583,1487.8090489319322
2023,Dallas Cowboys,1665.9898910830518,1738.59715703152,1620.9210646195493
2023,Denver Broncos,1413.4657428396563,1544.8353549039855,1300.7126171650832
2023,Detroit Lions,1616.6198347613965,1686.520353584743,1526.439944123382
2023,Green Bay Packers,1505.5441222949382,1601.6855876616175,1403.0981131212995
2023,Houston Texans,1411.2856853748106,1534.7452354425368,1270.4352268973626
2023,Indianapolis Colts,1406.83010954618,1488.945942660309,1314.5423643328447
2023,Jacksonville Jaguars,1548.805884705596,1638.846724593499,1458.0127477616672
2023,Kansas City Chiefs,1728.5874011621574,1832.771566763002,1613.2291446112376
2023,Las Vegas Raiders,1443.6734022483267,1499.4670696726369,1397.0527835959597
2023,Los Angeles Chargers,1450.973191076402,1537.673647775956,1339.2069969218044
2023,Los Angeles Rams,1495.0449261834483,1614.716341647078,1399.1109867212456
2023,Miami Dolphins,1583.1930271817314,1642.9601267325922,1524.4583447185616
2023,Minnesota Vikings,1514.5448172416914,1609.9491188365391,1437.560349597312
2023,New England Patriots,1397.782113162507,1496.4755044842125,1303.1131550323687
2023,New Orleans Saints,1477.024356257606,1534.6416831941954,1415.1422259678582
2023,New York Giants,1399.7618281362702,1465.1511924586544,1329.0088619868911
2023,New York Jets,1404.1094053517236,1494.6369154211434,1332.3521993423767
2023,Philadelphia Eagles,1689.4556349996901,1791.615909286012,1512.9756570212046
2023,Pittsburgh Steelers,1547.0354580142243,1593.3291113006144,1452.96770428416
2023,San Francisco 49ers,1744.8169183742982,1803.34022062252,1650.3668181206572
2023,Seattle Seahawks,1517.9865417948906,1574.9979785222924,1448.1486422910568
2023,Tampa Bay Buccaneers,1483.0671597258436,1562.2245839092504,1408.1556058008669
2023,Tennessee Titans,1389.5852064645403,1456.1690128139812,1311.6548682515054
2023,Washington Commanders,1405.0630858398997,1519.9551508339168,1285.1466177719717
2024,Arizona Cardinals,1416.662110294358,1510.1476683976002,1327.520940763009
2024,Atlanta Falcons,1438.6036473485321,1520.467870855205,1362.3958818172273
2024,Baltimore Ravens,1706.2620843414147,1778.448985225816,1600.3750147121605
2024,Buffalo Bills,1721.1398419460245,1800.6233804313772,1625.4403207581406
2024,Carolina Panthers,1242.8696971654565,1296.1339357106813,1192.3626156423954
2024,Chicago Bears,1394.7513550024005,1502.736946416235,1292.4891001336932
2024,Cincinnati Bengals,1511.703378066855,1598.1546290820893,1455.7670839807158
2024,Cleveland Browns,1383.7325666357528,1511.1208837834583,1295.576715189913
2024,Dallas Cowboys,1517.7745440193605,1647.156257676383,1419.778559133384
2024,Denver Broncos,1532.2130563249848,1609.2699187713145,1414.3876527821344
2024,Detroit Lions,1740.6550400682363,1826.1133433445675,1594.3169303318562
2024,Green Bay Packers,1617.5154141398518,1708.7823002548148,1529.7183097720726
2024,Houston Texans,1549.427403790125,1588.3481948166248,1511.0496131792213
2024,Indianapolis Colts,1448.5704695019451,1491.4357793725328,1401.8104674370022
2024,Jacksonville Jaguars,1373.577202599767,1449.567991088934,1301.9922872170046
2024,Kansas City Chiefs,1817.1876568314547,1860.5178390760425,1767.566608753759
2024,Las Vegas Raiders,1376.3140730911541,1506.2913569302927,1271.8220899865598
2024,Los Angeles Chargers,1503.9953532303507,1580.0437646421756,1421.5728138363886
2024,Los Angeles Rams,1547.7589649083552,1636.8275933993796,1464.780231158992
2024,Miami Dolphins,1468.8293044742907,1556.8456803087392,1390.2026574658082
2024,Minnesota Vikings,1622.3460778887509,1719.138236080221,1503.170262197984
2024,New England Patriots,1310.6416519984234,1424.3754884410812,1230.45090886678
2024,New Orleans Saints,1418.029935034253,1583.9593829446333,1305.326931175054
2024,New York Giants,1312.8690762048657,1434.2657573976535,1196.6071445165785
2024,New York Jets,1388.3122193418205,1489.4018085652249,1310.731101289908
2024,Philadelphia Eagles,1676.2009217682487,1885.8594308575864,1490.308817899806
2024,Pittsburgh Steelers,1600.608617668393,1672.2715816553973,1526.3895842599686
2024,San Francisco 49ers,1565.3814432483264,1678.1573177265236,1417.8727919155303
2024,Seattle Seahawks,1533.5990041119774,1593.9563847854254,1455.4235283873973
2024,Tampa Bay Buccaneers,1545.8210762461824,1591.922511613507,1480.16347180273
2024,Tennessee Titans,1314.3285420629381,1370.261221438499,1226.7744202464246
2024,Washington Commanders,1509.893765428477,1691.6327605715524,1322.6583042197003
